text,ref,translated,similarity_score,language_pair,source_lang,target_lang,model,file_path,similarity_score_pct,Unnamed: 2,Unnamed: 3
Ame kukua ƒe ƒometɔwo ate ŋu atso nya me le afisi woaɖi woƒe lɔlɔ̃tɔa le ŋu.,The deceased's relatives can decide where to bury their loved one.,The elders were able to give advice so that they could maintain their unity in peace.,0.1800537109375,ewe-eng,ewe,eng,gpt-5.1,output/ewe-eng/ewe-eng_gpt-5.1.csv,18.00537109375,,
"Woade se ɖe V8/V6 tɔdziʋuwo alo tɔdziʋu ɖesiaɖe si ƒe gbeɖiɖi sɔ kple esia hehe nu, negbe mɔzɔzɔ yi kɔƒenutowo me ko.","Towing of the V8/V6 vessels or any vessel of similar tone will be prohibited, except for trips to rural areas.","You must not use V8/V6 engines or any other engine whose noise level is loud and disturbing, but only vehicles that move quietly.",0.53759765625,ewe-eng,ewe,eng,gpt-5.1,output/ewe-eng/ewe-eng_gpt-5.1.csv,53.759765625,,
Esesẽna ŋutɔ be ame siwo ƒoa wo ɖokuiwo ɖe teƒe vovovowo la nawɔ nu aduadu.,It's quite hard to mix with people of different cultural beriefs.,It is important that those who send their representatives to high places do so thoughtfully.,0.06317138671875,ewe-eng,ewe,eng,gpt-5.1,output/ewe-eng/ewe-eng_gpt-5.1.csv,6.317138671875,,
Edze be na xe adzɔga nenye be ne le asi tsam le anyigba sɔe aɖe dzi.,"You have the power to change the undesirable things around you, emphasizing personal agency and empowerment.",He said that he would build a monument so that his name would remain on a certain part of the earth.,0.10345458984375,ewe-eng,ewe,eng,gpt-5.1,output/ewe-eng/ewe-eng_gpt-5.1.csv,10.345458984375,,
"Nu siwo wozãna tsɔ ƒoa asa na asrãdɔ nye atikewo, mu ɖaɖe nuwo ɖa kple ale si womate ŋu aƒo asa na nuɖuɖu o.","Methods used to prevent malaria include medications, mosquito elimination and the prevention of bites.","So the things that were used to prepare the food for the soldiers are the plates, the spoons, and what could not be used to prepare the food.",0.1585693359375,ewe-eng,ewe,eng,gpt-5.1,output/ewe-eng/ewe-eng_gpt-5.1.csv,15.85693359375,,
"Nyɔnuvi dzetugbee wònye, gake ate ŋu aƒo nu kplii, gake melɔ̃ ɖe edzi kura o, togbɔ be ɖevia vivina hã la, eléa ɖoɖo ɖe edzi ɣesiaɣi, eye taɖua megahea ta na dzila aɖeke vɛ o.","She is a beautiful girl, but she is just too much trouble. She can talk, she can argue, but she never agrees. Her brother however is a sweet boy. He is always calm, and never causes his parents any headaches.","The girl is troublesome, but she can work hard, yet I don’t like her that much, because as for the little child, she is very quiet, and she doesn’t cause any trouble for anyone at all.",0.6376953125,ewe-eng,ewe,eng,gpt-5.1,output/ewe-eng/ewe-eng_gpt-5.1.csv,63.76953125,,
Dunyahela ate ŋu anɔ dunyaheha ɖesiaɖe me faa.,A politician is free to belong to any political party.,The world is such that no one can fully understand it.,0.05731201171875,ewe-eng,ewe,eng,gpt-5.1,output/ewe-eng/ewe-eng_gpt-5.1.csv,5.731201171875,,
poliswo le dɔ wɔm kple bɔswo dzi kpɔlawo be yewoakpɔ egbɔ ɣeyiɣi didi aɖe.,Police are working with bus managers to find a long term solution.,The police are on the ground with the soldiers and are warning people that they will see something serious very soon.,0.289306640625,ewe-eng,ewe,eng,gpt-5.1,output/ewe-eng/ewe-eng_gpt-5.1.csv,28.9306640625,,
Dukɔmevi akpa gãtɔ xɔ edzi se be ate ŋu awɔe eye wòawɔe geɖe wu.,Most of the citizens believe in him that he can do it and do it more.,"The villager gathered a large bundle, put it on his head saying he could carry it, and he carried it a long distance.",0.2440185546875,ewe-eng,ewe,eng,gpt-5.1,output/ewe-eng/ewe-eng_gpt-5.1.csv,24.40185546875,,
Asitsalawo adzɔ ga na bɔlƒoƒea tutu.,The business community will contribute funds for the construction of the stadium.,The soldier paid money for the football to be punctured.,0.274658203125,ewe-eng,ewe,eng,gpt-5.1,output/ewe-eng/ewe-eng_gpt-5.1.csv,27.4658203125,,
Kpekpe aɖe nɔ anyi ku ɖe motsyɔnu si woama na sitsoƒedilaawo ŋu.,There was a meeting about the face mask distribution to the refugees.,"""A problem has arisen that is causing the death of some of the teachers they have given to the students.""",0.223388671875,ewe-eng,ewe,eng,gpt-5.1,output/ewe-eng/ewe-eng_gpt-5.1.csv,22.3388671875,,
"Enɔ ɖevi si gbɔ wòtso, eye wònɔ kɔƒea me, le ŋuve me kple ƒu si te ɖe ƒu la ŋu.","He lived a carefree childhood, spent in the village, in the bush, and on the nearby sea.","It is the child who walks ahead of you that you put in the bag, in the cloth and the garment that fits the garment.",0.0865478515625,ewe-eng,ewe,eng,gpt-5.1,output/ewe-eng/ewe-eng_gpt-5.1.csv,8.65478515625,,
Eyae nye agbanɔamedzi be dziɖuɖua nakpɔ egbɔ be atike vɔ̃ɖiwo li le kɔdzi.,It's the government's responsibility to make sure there are drugs in hospitals.,He is my doctor who checks to see if there are any infections in the body.,0.2587890625,ewe-eng,ewe,eng,gpt-5.1,output/ewe-eng/ewe-eng_gpt-5.1.csv,25.87890625,,
"Kpɔ nyuie, tsɔ aʋawɔnu vɔ̃ɖiwo kpe ɖe fiafitɔwo ŋu.","Be careful, thieves carry dangerous weapons along with them.",Look carefully and submit the completed forms to the authorities.,0.07720947265625,ewe-eng,ewe,eng,gpt-5.1,output/ewe-eng/ewe-eng_gpt-5.1.csv,7.720947265625,,
Mele be nàƒo nu le telefon dzi esime nèle ʋu kum o elabena wolée le esi wòku ʋu ŋumaɖɔɖotɔe ta.,You should not talk on the phone while driving as He was arrested for driving recklessly.,"He said you should leave it on the phone because you are not dead, since they will use it until the day you die.",0.346923828125,ewe-eng,ewe,eng,gpt-5.1,output/ewe-eng/ewe-eng_gpt-5.1.csv,34.6923828125,,
"Alesi atiglinyia ƒe ŋutigbalẽ sɔe nye be wòaɖe nyɔnuvi ƒewuivi si le sɔhɛmenɔɣi ƒe kɔnuwo me tom afia be, abe alesi lãa sesẽ ene la, nenemae wòle be wòasẽ ŋu nenema ke le agbe me.","The relevance of the elephant skin is to show the teenage girl going through the puberty rites that, just as the meat is hard, that's how strong she should equally be in life.","The reason for Alesi’s sadness is that she had a baby girl who was born with a physical disability, so that, just as the child’s father had feared, she would suffer in that way throughout her life.",0.31103515625,ewe-eng,ewe,eng,gpt-5.1,output/ewe-eng/ewe-eng_gpt-5.1.csv,31.103515625,,
"Esia fia kɔte be, Fianyɔnua ƒe dɔe wònye be wòatia amesi dze tso fiaƒomea me","This clearly signify, it is the role of the Queenmother to select the qualify candidate from the royal family",This king said that the duty of a prince is to drive away anyone who causes trouble in the kingdom.,0.407958984375,ewe-eng,ewe,eng,gpt-5.1,output/ewe-eng/ewe-eng_gpt-5.1.csv,40.7958984375,,
"Ŋutifafa, ɖoɖowɔwɔ kple dedienɔnɔ ƒe gbedeasi ye sinimaa la nɔ gbeƒã ɖem.","The film was preaching the word of peace, order and stability.","Peace, unity and understanding are the foundation of a nation’s development.",0.492431640625,ewe-eng,ewe,eng,gpt-5.1,output/ewe-eng/ewe-eng_gpt-5.1.csv,49.2431640625,,
Ame geɖewo xɔ tso lãmeka falɛfalɛa me le esi wokpɔe be lãmesẽnyawo le míaƒe lãmesẽnyawo ŋu,A good number of people have recovered from the coronavirus proving that we have a strong health sector,Some people are very surprised to see that prophets are among our own prophets.,0.0487060546875,ewe-eng,ewe,eng,gpt-5.1,output/ewe-eng/ewe-eng_gpt-5.1.csv,4.87060546875,,
Nuɖuɖu deŋgɔwo le abe amegbetɔwo ƒe agbe me.,Beans contain a high food value for human life.,Food taboos exist in human life.,0.337158203125,ewe-eng,ewe,eng,gpt-5.1,output/ewe-eng/ewe-eng_gpt-5.1.csv,33.7158203125,,
Nyɔnu aɖewo yia ŋgɔ wu ɣleti asieke siwo wofɔ fufɔfɔ ɖo la dometɔ aɖewo.,Some women go beyond or below the supposed nine months of their pregnancy.,Some women die from certain diseases that affect only a few people.,0.383544921875,ewe-eng,ewe,eng,gpt-5.1,output/ewe-eng/ewe-eng_gpt-5.1.csv,38.3544921875,,
"Eɖe srɔ̃ esime wòxɔ ƒe wuienyi eye eya hã nɔ dɔ wɔm le ketekedzeƒea, eye esi wòxɔ ƒe wuiasieke la, edzi nyɔnuvi.","He married at the age of eighteen also working at the railway station, at the age of nineteen he had a daughter.","She was pregnant when she took her first bath and she was in labor in the bathroom, and when she gave birth, it was a baby girl.",0.314697265625,ewe-eng,ewe,eng,gpt-5.1,output/ewe-eng/ewe-eng_gpt-5.1.csv,31.4697265625,,
"Enye nunyala, eye wòtea ŋu wɔa nu ɖe dukɔ sia ƒe kplɔla ŋu.",She is a wise and capable leader for this country.,"It is possible, and you can work together with the leaders of this community.",0.19921875,ewe-eng,ewe,eng,gpt-5.1,output/ewe-eng/ewe-eng_gpt-5.1.csv,19.921875,,
Ekpena ɖe amegbetɔ ƒe susu ƒe dɔwɔwɔ nyuie ŋu,It helps in the efficiency of the human mind,The key lies in the proper application of human intelligence.,0.431640625,ewe-eng,ewe,eng,gpt-5.1,output/ewe-eng/ewe-eng_gpt-5.1.csv,43.1640625,,
"Le ƒe 2020 me la, wowɔ numekuku le sukudede kple sukudede ŋu le Ghana afisia. When the investigation ended, some of the things that came to light are as follows.","In 2020, a survey of schooling and education was conducted here in Ghana. When the investigation ended, some of the things that came to light are as follows.","In the year 2020, there was a serious incident in schools and in connection with schools in Ghana.",0.73583984375,ewe-eng,ewe,eng,gpt-5.1,output/ewe-eng/ewe-eng_gpt-5.1.csv,73.583984375,,
Míate ŋu aƒo nya ta tso esia me be ame ɖesiaɖe ƒe ɣeyiɣi si wòtsɔna kpɔa dzidzedze la le etɔxɛ.,We can infer from this that each person's time to success is unique.,We should also remember that everyone’s time which you have taken to seek joy is precious.,0.322265625,ewe-eng,ewe,eng,gpt-5.1,output/ewe-eng/ewe-eng_gpt-5.1.csv,32.2265625,,
"Nyateƒee, kɔnu kple akpa siawo katã ɖe Fianyɔnu Dada ƒe vevienyenye kple vevienyenye fia le Akantɔwo ƒe dekɔnuwo kple hadomegbenɔnɔ me. Ẽ, le Akantɔwo ƒe hadomegbenɔnɔ me la, Fianyɔnu vidada geɖewo ɖu fia kpe ɖe Fiawo ŋu.","Indeed, all these customs and roles signify the importance and relevance of the Queenmother in Akans' culture and society. Yes, in the Akan society, many Queenmothers have reigned alongside Kings.","In summary, all these laws and regulations are written in the Great Constitution and the constitution of the Chiefs. Yes, in the constitution of the Chiefs, some young princes also share in the rule with the Kings.",0.38916015625,ewe-eng,ewe,eng,gpt-5.1,output/ewe-eng/ewe-eng_gpt-5.1.csv,38.916015625,,
Sɔhɛ siawo ƒe gãtɔ le atike vɔ̃ɖi zazã me.,Majority of the youth are involved in drug abuse.,The price of these shoes is written on the small paper.,-0.03363037109375,ewe-eng,ewe,eng,gpt-5.1,output/ewe-eng/ewe-eng_gpt-5.1.csv,-3.363037109375,,
"Azɔ hã, aɖuɖɔɖɔɖɔ kple lũhɛ kpena ɖe ame ŋu wòɖea aɖi ɖesiaɖe ɖa le ŋutilãa me.","Also, rubbing the gums with a razor helps to remove any toxins from the body.","Sometimes, flattery and sweet words can make a person forget themselves completely.",0.07269287109375,ewe-eng,ewe,eng,gpt-5.1,output/ewe-eng/ewe-eng_gpt-5.1.csv,7.269287109375,,
"Ŋkeke kɔkɔe siawo dzɔna le Kwasiɖagbe, Dzoɖa, Braɖa, Kuda, Fiɖa kple Memleɖagbe.","These sacred days occurs on Sunday, Monday, Tuesday, Wednesday, Friday and Saturday.","These weekdays are Monday, Tuesday, Wednesday, Thursday, Friday and Saturday.",0.62841796875,ewe-eng,ewe,eng,gpt-5.1,output/ewe-eng/ewe-eng_gpt-5.1.csv,62.841796875,,
"Esi wònɔ nu ƒom le Kwame Nkrumah Dzɔdzɔmeŋutinunya kple Mɔ̃ɖaŋununya Yunivɛsiti (KNUST) le woƒe ƒe 40 xɔxɔ le nusiwo wogbugbɔ zãna me la, ekpɔ be manyo ne wokpɔ nuwɔna sia ƒomevi eye woŋe aɖaba ƒu wo dzi o, ne wokpɔ nusiwo tsi tre ɖe se ŋu.","When he was speaking in the Kwame Nkrumah University of Science and Technology (KNUST) during their 40th anniversary in recycling, he saw that it wouldn't be nice if they see this kind of practices and ignored them, when they see things against the law happening.","As they celebrate 40 years of existence at the Kwame Nkrumah University of Science and Technology (KNUST) in the field in which they have been working, they see that it will be good if they look back at this work of theirs and do not repeat their mistakes, if they observe the things that have gone wrong in the past.",0.5810546875,ewe-eng,ewe,eng,gpt-5.1,output/ewe-eng/ewe-eng_gpt-5.1.csv,58.10546875,,
"Ɣebubuɣiwo hã ne wokpɔ deti ƒe aŋgbawo le anyigba aɖe dzi la, efia be wole nya hem le anyigbaa ŋu.","Other times, too, when palm fronds are seen on a piece of land, it indicates litigation over the land.","When archaeologists find remains of ancient objects on a land, it shows that people once lived on that land.",0.4296875,ewe-eng,ewe,eng,gpt-5.1,output/ewe-eng/ewe-eng_gpt-5.1.csv,42.96875,,
"Le nyateƒe me la, esime esia nɔ edzi yim la, amewo nɔ anyi, siwo dome ɖevia dada hã nɔ, gake wo dometɔ aɖeke mete ŋu ɖo aɖaŋu na tagbɔsesẽtɔ la be wòadzudzɔ ɖevia ƒoƒo o.","In fact, while this was going on, there were people, including the child's mother, but none of them could advise the crazy man to stop beating the child.","In this story, while this was happening, there were people present, including those who were with the child’s father, but none of them could convince the judge to release the child’s father.",0.6044921875,ewe-eng,ewe,eng,gpt-5.1,output/ewe-eng/ewe-eng_gpt-5.1.csv,60.44921875,,
Numekulawo ɖee fia be tsinono ɖea sukli ƒe agbɔsɔsɔ si le ŋutilã me dzi kpɔtɔna eye wòkpɔa ame ta tso suklidɔ me elabena nunyiamewo abe Vitamin kple bubuawo yɔ tsi me fũ,Researchers have shown that drinking water reduces the amount of glucose in the body and protects against diabetes as water is full of nutrients like Vitamin and others,Doctors say that diarrhea reduces the effectiveness of the medicine in the body because nutrients like vitamins and others are lost through the stool.,0.1915283203125,ewe-eng,ewe,eng,gpt-5.1,output/ewe-eng/ewe-eng_gpt-5.1.csv,19.15283203125,,
Zimenɔla la ɖe gbeƒãe be yewoaɖo dedienɔnɔdzikpɔla bubuwo ɖe zã me.,The chairman announced the deployment of more security forces in the night.,The teacher announced that they would appoint other prefects during the term.,0.2861328125,ewe-eng,ewe,eng,gpt-5.1,output/ewe-eng/ewe-eng_gpt-5.1.csv,28.61328125,,
Woaɖo xɔdzisasrãwo ɖe atikplɔƒea hena dedienɔnɔ.,A fence will be built around the staff quarters for security.,He/she/they should submit supporting documents to the office for verification.,0.137451171875,ewe-eng,ewe,eng,gpt-5.1,output/ewe-eng/ewe-eng_gpt-5.1.csv,13.7451171875,,
Míayi edzi alé ŋku ɖe tsaɖilawo ƒe teƒe bubu siwo le Ashanti nutoa me ŋu le míaƒe nusɔsrɔ̃ si gbɔna me.,we will continue look at the other tourist site in the Ahanti region in our next lesson.,We went to see the various shrines of the gods in the Ashanti region as part of our religious studies.,0.42431640625,ewe-eng,ewe,eng,gpt-5.1,output/ewe-eng/ewe-eng_gpt-5.1.csv,42.431640625,,
