text,ref,translated
Ame kukua ƒe ƒometɔwo ate ŋu atso nya me le afisi woaɖi woƒe lɔlɔ̃tɔa le ŋu.,The deceased's relatives can decide where to bury their loved one.,They have grown and are now giving birth to children who are working in offices and taking their salaries home.
"Woade se ɖe V8/V6 tɔdziʋuwo alo tɔdziʋu ɖesiaɖe si ƒe gbeɖiɖi sɔ kple esia hehe nu, negbe mɔzɔzɔ yi kɔƒenutowo me ko.","Towing of the V8/V6 vessels or any vessel of similar tone will be prohibited, except for trips to rural areas.","They said the V8/V6 vehicles or the vehicles with higher engine capacity which consume a lot of fuel should be parked, as fuel is becoming scarce."
Esesẽna ŋutɔ be ame siwo ƒoa wo ɖokuiwo ɖe teƒe vovovowo la nawɔ nu aduadu.,It's quite hard to mix with people of different cultural beriefs.,They said the man is in the habit of beating his wives every morning.
Edze be na xe adzɔga nenye be ne le asi tsam le anyigba sɔe aɖe dzi.,"You have the power to change the undesirable things around you, emphasizing personal agency and empowerment.",The boy and the girl are playing together on the sand at the riverside.
"Nu siwo wozãna tsɔ ƒoa asa na asrãdɔ nye atikewo, mu ɖaɖe nuwo ɖa kple ale si womate ŋu aƒo asa na nuɖuɖu o.","Methods used to prevent malaria include medications, mosquito elimination and the prevention of bites.","They were not allowed to walk on the main street and the big market, but they were going with the small paths that were between the houses to the big market and the small market."
"Nyɔnuvi dzetugbee wònye, gake ate ŋu aƒo nu kplii, gake melɔ̃ ɖe edzi kura o, togbɔ be ɖevia vivina hã la, eléa ɖoɖo ɖe edzi ɣesiaɣi, eye taɖua megahea ta na dzila aɖeke vɛ o.","She is a beautiful girl, but she is just too much trouble. She can talk, she can argue, but she never agrees. Her brother however is a sweet boy. He is always calm, and never causes his parents any headaches.","The woman's womb is a bag, but when it holds a child, it is very painful, but when the child is born, everyone is happy, the child is also happy to be born, and the pain the woman felt is forgotten."
Dunyahela ate ŋu anɔ dunyaheha ɖesiaɖe me faa.,A politician is free to belong to any political party.,"The world is like a forest, the world's affairs are difficult for me to understand."
poliswo le dɔ wɔm kple bɔswo dzi kpɔlawo be yewoakpɔ egbɔ ɣeyiɣi didi aɖe.,Police are working with bus managers to find a long term solution.,The police and the soldiers joined forces to arrest the thieves who were stealing the big yams.
Dukɔmevi akpa gãtɔ xɔ edzi se be ate ŋu awɔe eye wòawɔe geɖe wu.,Most of the citizens believe in him that he can do it and do it more.,"The elder of the village says that when you eat the fruit, you should also give some to your sibling."
Asitsalawo adzɔ ga na bɔlƒoƒea tutu.,The business community will contribute funds for the construction of the stadium.,The crab put its hands in the pockets of its trousers.
Kpekpe aɖe nɔ anyi ku ɖe motsyɔnu si woama na sitsoƒedilaawo ŋu.,There was a meeting about the face mask distribution to the refugees.,The stone that is in the river does not know the pain of the stone in the fire.
"Enɔ ɖevi si gbɔ wòtso, eye wònɔ kɔƒea me, le ŋuve me kple ƒu si te ɖe ƒu la ŋu.","He lived a carefree childhood, spent in the village, in the bush, and on the nearby sea.","If a child is crying and you give them a stick, they will stop crying and look for someone to hit with the stick."
Eyae nye agbanɔamedzi be dziɖuɖua nakpɔ egbɔ be atike vɔ̃ɖiwo li le kɔdzi.,It's the government's responsibility to make sure there are drugs in hospitals.,The fool will not listen to or obey the wise words that will bring him good fortune.
"Kpɔ nyuie, tsɔ aʋawɔnu vɔ̃ɖiwo kpe ɖe fiafitɔwo ŋu.","Be careful, thieves carry dangerous weapons along with them.","There is gold, but the owners of the gold are at the king's place."
Mele be nàƒo nu le telefon dzi esime nèle ʋu kum o elabena wolée le esi wòku ʋu ŋumaɖɔɖotɔe ta.,You should not talk on the phone while driving as He was arrested for driving recklessly.,My mother is on the phone and I will call her as soon as I finish the work that I am doing now.
