text,ref,translated,source_zip_file
Ame kukua ƒe ƒometɔwo ate ŋu atso nya me le afisi woaɖi woƒe lɔlɔ̃tɔa le ŋu.,The deceased's relatives can decide where to bury their loved one.,The bereaved family can decide where to bury their loved one.,run_1
"Woade se ɖe V8/V6 tɔdziʋuwo alo tɔdziʋu ɖesiaɖe si ƒe gbeɖiɖi sɔ kple esia hehe nu, negbe mɔzɔzɔ yi kɔƒenutowo me ko.","Towing of the V8/V6 vessels or any vessel of similar tone will be prohibited, except for trips to rural areas.","Avoid using V8/V6 boats or any boat with a similar sound, except for traveling to villages.",run_1
Esesẽna ŋutɔ be ame siwo ƒoa wo ɖokuiwo ɖe teƒe vovovowo la nawɔ nu aduadu.,It's quite hard to mix with people of different cultural beriefs.,It is very encouraging that people from different places are working together.,run_1
Edze be na xe adzɔga nenye be ne le asi tsam le anyigba sɔe aɖe dzi.,"You have the power to change the undesirable things around you, emphasizing personal agency and empowerment.",You are supposed to pay tax if you are walking on a certain land.,run_1
"Nu siwo wozãna tsɔ ƒoa asa na asrãdɔ nye atikewo, mu ɖaɖe nuwo ɖa kple ale si womate ŋu aƒo asa na nuɖuɖu o.","Methods used to prevent malaria include medications, mosquito elimination and the prevention of bites.","The things used to prevent malaria are medicines, mosquito nets, and how to avoid food contamination.",run_1
"Nyɔnuvi dzetugbee wònye, gake ate ŋu aƒo nu kplii, gake melɔ̃ ɖe edzi kura o, togbɔ be ɖevia vivina hã la, eléa ɖoɖo ɖe edzi ɣesiaɣi, eye taɖua megahea ta na dzila aɖeke vɛ o.","She is a beautiful girl, but she is just too much trouble. She can talk, she can argue, but she never agrees. Her brother however is a sweet boy. He is always calm, and never causes his parents any headaches.","She is a beautiful girl, and one can talk to her, but I do not agree with it at all; even though the child is growing, she always maintains discipline, and her behavior does not cause any trouble for any parent.",run_1
Dunyahela ate ŋu anɔ dunyaheha ɖesiaɖe me faa.,A politician is free to belong to any political party.,A politician can be in any political party freely.,run_1
poliswo le dɔ wɔm kple bɔswo dzi kpɔlawo be yewoakpɔ egbɔ ɣeyiɣi didi aɖe.,Police are working with bus managers to find a long term solution.,The police and bus supervisors have been working together for a long time to ensure this.,run_1
Dukɔmevi akpa gãtɔ xɔ edzi se be ate ŋu awɔe eye wòawɔe geɖe wu.,Most of the citizens believe in him that he can do it and do it more.,Most citizens believe that they can do it and will do even more.,run_1
Asitsalawo adzɔ ga na bɔlƒoƒea tutu.,The business community will contribute funds for the construction of the stadium.,They have collected tax money for the construction of the football field.,run_1
Kpekpe aɖe nɔ anyi ku ɖe motsyɔnu si woama na sitsoƒedilaawo ŋu.,There was a meeting about the face mask distribution to the refugees.,A meeting was held regarding the tarpaulin that will be distributed to the refugees.,run_1
"Enɔ ɖevi si gbɔ wòtso, eye wònɔ kɔƒea me, le ŋuve me kple ƒu si te ɖe ƒu la ŋu.","He lived a carefree childhood, spent in the village, in the bush, and on the nearby sea.","She was a child from where you came from, and she was in the village, in the sun and by the sea that was near the sea.",run_1
Eyae nye agbanɔamedzi be dziɖuɖua nakpɔ egbɔ be atike vɔ̃ɖiwo li le kɔdzi.,It's the government's responsibility to make sure there are drugs in hospitals.,It is the responsibility of the government to ensure that there are no bad drugs in hospitals.,run_1
"Kpɔ nyuie, tsɔ aʋawɔnu vɔ̃ɖiwo kpe ɖe fiafitɔwo ŋu.","Be careful, thieves carry dangerous weapons along with them.","Watch out, they are using dangerous weapons to help the thieves.",run_1
Mele be nàƒo nu le telefon dzi esime nèle ʋu kum o elabena wolée le esi wòku ʋu ŋumaɖɔɖotɔe ta.,You should not talk on the phone while driving as He was arrested for driving recklessly.,You should not talk on the phone while driving because you were caught for driving recklessly.,run_1
"Alesi atiglinyia ƒe ŋutigbalẽ sɔe nye be wòaɖe nyɔnuvi ƒewuivi si le sɔhɛmenɔɣi ƒe kɔnuwo me tom afia be, abe alesi lãa sesẽ ene la, nenemae wòle be wòasẽ ŋu nenema ke le agbe me.","The relevance of the elephant skin is to show the teenage girl going through the puberty rites that, just as the meat is hard, that's how strong she should equally be in life.","The meaning of the giraffe's skin is to show a young girl going through puberty rites that, just as the animal is strong, she must also be strong in life.",run_1
"Esia fia kɔte be, Fianyɔnua ƒe dɔe wònye be wòatia amesi dze tso fiaƒomea me","This clearly signify, it is the role of the Queenmother to select the qualify candidate from the royal family",This shows that it is the Queen's duty to choose someone worthy from the royal family.,run_1
"Ŋutifafa, ɖoɖowɔwɔ kple dedienɔnɔ ƒe gbedeasi ye sinimaa la nɔ gbeƒã ɖem.","The film was preaching the word of peace, order and stability.","The movie was proclaiming a message of peace, order, and security.",run_1
Ame geɖewo xɔ tso lãmeka falɛfalɛa me le esi wokpɔe be lãmesẽnyawo le míaƒe lãmesẽnyawo ŋu,A good number of people have recovered from the coronavirus proving that we have a strong health sector,Many people have benefited from the various exercises because they have seen that health issues are related to our health.,run_1
Nuɖuɖu deŋgɔwo le abe amegbetɔwo ƒe agbe me.,Beans contain a high food value for human life.,Nutritious foods are like life in human beings.,run_1
