text,ref,translated,source_zip_file
Ame kukua ƒe ƒometɔwo ate ŋu atso nya me le afisi woaɖi woƒe lɔlɔ̃tɔa le ŋu.,The deceased's relatives can decide where to bury their loved one.,The family of the deceased can decide where to bury their loved one.,run_1
"Woade se ɖe V8/V6 tɔdziʋuwo alo tɔdziʋu ɖesiaɖe si ƒe gbeɖiɖi sɔ kple esia hehe nu, negbe mɔzɔzɔ yi kɔƒenutowo me ko.","Towing of the V8/V6 vessels or any vessel of similar tone will be prohibited, except for trips to rural areas.","A ban will be placed on the driving of V8/V6 vehicles or any vehicle with a similar sound, except for travel to rural areas.",run_1
Esesẽna ŋutɔ be ame siwo ƒoa wo ɖokuiwo ɖe teƒe vovovowo la nawɔ nu aduadu.,It's quite hard to mix with people of different cultural beriefs.,It is very difficult for people who are in different places to work together.,run_1
Edze be na xe adzɔga nenye be ne le asi tsam le anyigba sɔe aɖe dzi.,"You have the power to change the undesirable things around you, emphasizing personal agency and empowerment.",It is advisable to fasten your belt when strolling on level ground.,run_1
"Nu siwo wozãna tsɔ ƒoa asa na asrãdɔ nye atikewo, mu ɖaɖe nuwo ɖa kple ale si womate ŋu aƒo asa na nuɖuɖu o.","Methods used to prevent malaria include medications, mosquito elimination and the prevention of bites.","Methods used to prevent cholera are medications, waste disposal, and how to prevent food contamination.",run_1
"Nyɔnuvi dzetugbee wònye, gake ate ŋu aƒo nu kplii, gake melɔ̃ ɖe edzi kura o, togbɔ be ɖevia vivina hã la, eléa ɖoɖo ɖe edzi ɣesiaɣi, eye taɖua megahea ta na dzila aɖeke vɛ o.","She is a beautiful girl, but she is just too much trouble. She can talk, she can argue, but she never agrees. Her brother however is a sweet boy. He is always calm, and never causes his parents any headaches.","She is a beautiful girl, and you can talk to her, but she never consents at all; although the child is charming, she is always disciplined, and her behavior never causes a headache for any parent.",run_1
Dunyahela ate ŋu anɔ dunyaheha ɖesiaɖe me faa.,A politician is free to belong to any political party.,A citizen can freely be in any political party.,run_1
poliswo le dɔ wɔm kple bɔswo dzi kpɔlawo be yewoakpɔ egbɔ ɣeyiɣi didi aɖe.,Police are working with bus managers to find a long term solution.,The police are working with the bus authorities to find a long-term solution.,run_1
Dukɔmevi akpa gãtɔ xɔ edzi se be ate ŋu awɔe eye wòawɔe geɖe wu.,Most of the citizens believe in him that he can do it and do it more.,The majority of citizens believe that they can do it and will do much more.,run_1
Asitsalawo adzɔ ga na bɔlƒoƒea tutu.,The business community will contribute funds for the construction of the stadium.,The traders will donate money to build the football field.,run_1
