text,ref,Unnamed: 2,Unnamed: 3,translated,similarity_score
"Deɛ ɛtwa toɔ no, sɛ wotaa di aduaba yi a, ɛbɛboa ama wo nipadua no atumi ako atia yareɛ koankorɔ binom na asane nso ama nipadua no fa a ɛko tia nyarewa no atumi ayɛ adwuma yie.","Finally, regular consumption of this fruit will help your body fight off certain diseases and also improve the immune system.",,,"{""result"":""Finally, regular consumption of this fruit will help your body fight off certain infections and restore the proper functioning of the immune system.""}",0.70458984375
"Ebinom fa nneyɛeɛ a ɛsɛ sɛ yɛda no adi ma yɛn nsa ka apɔmuden pa ho, ebinom fa nnuane a ɛsɛ sɛ yɛdi, nnuro a ɛsɛ sɛ yɛtumi fa ne dodoɔ a ɛtwa sɛ yɛde kɔ yɛn nipadua mu ho.","Some are about the behaviors we need to exhibit to achieve good health, others are about the foods we need to eat, the medications we need to be able to take and the amounts we need to take into our bodies.",,,"{""result"":""Some say we should practice what we do to be healthy, others say what we should eat, what medicines we should be able to take and how much we should take.""}",0.5419921875
"Ɛbinom nso wᴐ hᴐ a sε wᴐdi aduane a wᴐn yafunu mpε anaa εnyε mma wᴐn yafunu a, εma wᴐnya ayamtim anaa εma wᴐn ayamtim yε kεse.",There are others who develop or aggravate asthma when they eat foods that their stomachs do not like or are not suitable for their stomachs.,,,"{""result"":""Some people also find that eating a diet that is not healthy for their stomach or that is unhealthy for their gut causes an increase in appetite or an increase of appetites.""}",0.480712890625
Ayaresabea nyɛ fie.,Hospital is not like home.,,,"{""result"":""A hospital is not a home.""}",0.48388671875
"Ɛwom, obi nhyɛ da ntwɛn sɛ yadeɛ bi bɛba ne so, anaasɛ ɔnyɛ obiara pɛ me sɛ ɔbɛkɔ mmerɛyɛ mu.","Although nobody lives to await sickness, nor wishes to fall sick or become weak.",,,"{""result"":""But no one expects to be sick, nor does anyone want me to be weak.""}",0.544921875
"3. Wɔ Bono Mantam; Baka a ɛwɔ Bui, Nsuo mu ban a ɛwɔ Bui.","3. In Bono County; Baka at Bui, Water fence at Bui.",,,"{""result"":""3. In Bono District; Tree in Bui, Dam in BUI.""}",0.52099609375
"Wɔtumi dua ntɔmmɛ, aborɔbɛ anaasɛ kwadu wɔ wɔn mfuo no ano de to hyeɛ.","They can create these boundaries with pineapple, banana, or any such plant.",,,"{""result"":""They may plant lentils, onions or sugarcane on the edges of their fields to border them.""}",0.53515625
Ɛbεboa yεn Abibifoᴐ yi nso ama yεahunu sε adeε titire a εde ewiem nsakraeε ba ne nnua mu kaabᴐn a εnni soro wᴐ yεn nsase soᴐ no.,It will also help us Africans to recognize that the main cause of climate change is the lack of carbon dioxide in our lands.,,,"{""result"":""It will also help us Africans to understand that the main cause of climate change is the lack of carbon in our land.""}",0.72998046875
"Nnipa bebree na kɔ kommyɛ mu ɛnam yadeɛ a ɛteetee wɔn nti, ɛno nti metu wo fo sɛ, ma w'apɔmuden ho nhia wo.","A lot of people turn to be depressed when suffering sickness. Hence, you're advised to be very vigilant about your health.",,,"{""result"":""And the king said to the king, \""Go and tell the king that I have come to you.""}",-0.019622802734375
"Saa nneyԑeԑ yi si nnuannennuro a ԑwᴐ aduane no mu no kwan, na ԑmma no nnyԑ deԑ ԑsԑ sԑ ԑyԑ wᴐ nipadua no mu.","These processes interfere with the absorption of nutrients in the food, preventing them from doing what they should in the body.",,,"{""result"":""These substances inhibit the absorption of nutrients from the food, preventing it from being absorbed by the body.""}",0.66796875
"Nanso deɛ ɛteɛ ne sɛ, ntoma ankasa deɛ, n'abɔseɛ mfiri Akanman mu.",But the fact is that the cloth itself is not of Akan origin.,,,"{""result"":""But the truth is that the actual fabric is not from Akanman.""}",0.67041015625
"Wᴐkyerε sε, berε a mfifideε de kaabᴐn yi sie no yε adeε a nsesan ne nwura ahodoᴐ binom a wᴐnyini wᴐ mmerε binom mu deε no yε tia, εna nnua a afe biara wᴐnyini no nso deε ware kakra.",It is shown that the storage time of this carbon by plants is shorter than that of some seasonal weed species and slightly longer than that of annual trees.,,,"{""result"":""It is suggested that the time taken for plants to store this carbon is shorter than that of some plants and weeds grown in certain seasons, while annual trees grow longer.""}",0.84521484375
"Ɛte sei deɛ a, ɛnneɛ adɛn na awofoɔ binom bu wɔn mma abam ma wɔhunu wɔn ho sɛ mfasoɔ biara nni wɔn so yi?","Why, then, do some parents discourage their children for them to feel worthless?",,,"{""result"":""Why, then, do some parents discourage their children from feeling worthless?""}",0.60400390625
Wei maa no bɛfaa n’adwomfoɔ no bi kɔkaa ho maa wɔkyerɛɛ Asanteman adwinneɛ.,This made him to come and pick some of his people to add up and to teach Asanteman sense.,,,"{""result"":""This led to him taking some of the musicians to join him and showcasing Asanteman's artwork.""}",0.440673828125
Kwan a Obi Bɛtumi Afa so Abɔ ne Ho ban a Ne Dwonsɔtoa a Ɛkyi Nsuo Ho Nka.,How to Protect Yourself Without Sensitivity to Water-Averse Bowel,,,"{""result"":""How to Protect Yourself From Water-Resistant Dandruff""}",0.234375
"Tɔfabɔ mu no, ahwɛgorɔ yi fa aberanteɛ bi a wɔfrɛ no Isaac ho, Ɔyɛ ɔbarima bi a n'afipamfoɔ nyinaa pɛ n'asɛm pa ara.","In part, this play is about a young man named Isaac, He is a man who is very popular with all his neighbors.",,,"{""result"":""The first is the story of a young man named Isaac, a man who is loved by all his neighbors.""}",0.56591796875
