text,ref,translated,similarity_score
"Deɛ ɛtwa toɔ no, sɛ wotaa di aduaba yi a, ɛbɛboa ama wo nipadua no atumi ako atia yareɛ koankorɔ binom na asane nso ama nipadua no fa a ɛko tia nyarewa no atumi ayɛ adwuma yie.","Finally, regular consumption of this fruit will help your body fight off certain diseases and also improve the immune system.",Regular consumption of this fruit will help your body resist some diseases and also strengthen the immune system.,0.96826171875
"Ebinom fa nneyɛeɛ a ɛsɛ sɛ yɛda no adi ma yɛn nsa ka apɔmuden pa ho, ebinom fa nnuane a ɛsɛ sɛ yɛdi, nnuro a ɛsɛ sɛ yɛtumi fa ne dodoɔ a ɛtwa sɛ yɛde kɔ yɛn nipadua mu ho.","Some are about the behaviors we need to exhibit to achieve good health, others are about the foods we need to eat, the medications we need to be able to take and the amounts we need to take into our bodies.","Some consider the practices we should adopt to maintain good health, others consider the food we should eat, the medicines we can take, and the appropriate amount we should put into our bodies.",0.87646484375
"Ɛbinom nso wᴐ hᴐ a sε wᴐdi aduane a wᴐn yafunu mpε anaa εnyε mma wᴐn yafunu a, εma wᴐnya ayamtim anaa εma wᴐn ayamtim yε kεse.",There are others who develop or aggravate asthma when they eat foods that their stomachs do not like or are not suitable for their stomachs.,"There are also some people whose bodies do not like or are not suited to certain foods, which causes them to have allergies or makes their allergies severe.",0.6826171875
Ayaresabea nyɛ fie.,Hospital is not like home.,A hospital is not a home.,0.8271484375
"Ɛwom, obi nhyɛ da ntwɛn sɛ yadeɛ bi bɛba ne so, anaasɛ ɔnyɛ obiara pɛ me sɛ ɔbɛkɔ mmerɛyɛ mu.","Although nobody lives to await sickness, nor wishes to fall sick or become weak.","However, no one chooses a day to wait for sickness to befall them, nor does anyone desire to go to prison.",0.7529296875
"3. Wɔ Bono Mantam; Baka a ɛwɔ Bui, Nsuo mu ban a ɛwɔ Bui.","3. In Bono County; Baka at Bui, Water fence at Bui.","3. In the Bono Region; Baka in Bui, Water forest in Bui.",0.81640625
"Wɔtumi dua ntɔmmɛ, aborɔbɛ anaasɛ kwadu wɔ wɔn mfuo no ano de to hyeɛ.","They can create these boundaries with pineapple, banana, or any such plant.","They can plant plantain, pawpaw or banana at the edges of their farms to serve as boundaries.",0.69970703125
Ɛbεboa yεn Abibifoᴐ yi nso ama yεahunu sε adeε titire a εde ewiem nsakraeε ba ne nnua mu kaabᴐn a εnni soro wᴐ yεn nsase soᴐ no.,It will also help us Africans to recognize that the main cause of climate change is the lack of carbon dioxide in our lands.,This will also help us Africans to understand that the main cause of climate change is the carbon dioxide from trees without cover on our land.,0.91259765625
"Nnipa bebree na kɔ kommyɛ mu ɛnam yadeɛ a ɛteetee wɔn nti, ɛno nti metu wo fo sɛ, ma w'apɔmuden ho nhia wo.","A lot of people turn to be depressed when suffering sickness. Hence, you're advised to be very vigilant about your health.","Many people die prematurely due to chronic diseases, so I advise you to take care of your health.",0.49951171875
"Saa nneyԑeԑ yi si nnuannennuro a ԑwᴐ aduane no mu no kwan, na ԑmma no nnyԑ deԑ ԑsԑ sԑ ԑyԑ wᴐ nipadua no mu.","These processes interfere with the absorption of nutrients in the food, preventing them from doing what they should in the body.","These nutrients pave the way for the vitamins in the food, but do not make it exactly as it should be in the body.",0.62060546875
"Nanso deɛ ɛteɛ ne sɛ, ntoma ankasa deɛ, n'abɔseɛ mfiri Akanman mu.",But the fact is that the cloth itself is not of Akan origin.,"However, the truth is that the fabric itself, its origin is from the Akan states.",0.83154296875
"Wᴐkyerε sε, berε a mfifideε de kaabᴐn yi sie no yε adeε a nsesan ne nwura ahodoᴐ binom a wᴐnyini wᴐ mmerε binom mu deε no yε tia, εna nnua a afe biara wᴐnyini no nso deε ware kakra.",It is shown that the storage time of this carbon by plants is shorter than that of some seasonal weed species and slightly longer than that of annual trees.,"It is explained that the burial of this carbon by the ancestors is something that the transformation and some other gases that exist in certain seasons are less, and trees that exist every year also have a little dryness.",0.6640625
"Ɛte sei deɛ a, ɛnneɛ adɛn na awofoɔ binom bu wɔn mma abam ma wɔhunu wɔn ho sɛ mfasoɔ biara nni wɔn so yi?","Why, then, do some parents discourage their children for them to feel worthless?",So why do some parents neglect their children to the extent that they feel worthless?,0.8251953125
Wei maa no bɛfaa n’adwomfoɔ no bi kɔkaa ho maa wɔkyerɛɛ Asanteman adwinneɛ.,This made him to come and pick some of his people to add up and to teach Asanteman sense.,This made some of his musicians join in and they showcased the ingenuity of Asanteman.,0.57958984375
Kwan a Obi Bɛtumi Afa so Abɔ ne Ho ban a Ne Dwonsɔtoa a Ɛkyi Nsuo Ho Nka.,How to Protect Yourself Without Sensitivity to Water-Averse Bowel,The path one can take to protect oneself from the consequences of their own actions.,0.126220703125
"Tɔfabɔ mu no, ahwɛgorɔ yi fa aberanteɛ bi a wɔfrɛ no Isaac ho, Ɔyɛ ɔbarima bi a n'afipamfoɔ nyinaa pɛ n'asɛm pa ara.","In part, this play is about a young man named Isaac, He is a man who is very popular with all his neighbors.","In the story, this narrative is about a young man named Isaac, who is a man that all his peers love his true words.",0.73583984375
